virus_name,refseq_id,host_name,virus_lineage,evidence
Pseudomonas phage 20Aug401,OQ319930,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Krylovirinae; Phikmvvirus; Phikmvvirus pv401,RefSeq
Pseudomonas phage 20Aug470,OQ319931,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fredfastierviridae; Jamesmcgillvirus; unclassified Jamesmcgillvirus,RefSeq
Pseudomonas phage 20Oct199,OQ319935,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage 20Sep416,NC_073612,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vandenendeviridae; Skurskavirinae; Pakpunavirus; Pakpunavirus pv20Sep416,RefSeq
Pseudomonas phage 20Sep418,OQ319937,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vandenendeviridae; Skurskavirinae; Pakpunavirus; unclassified Pakpunavirus,RefSeq
Pseudomonas phage 20Sep420,OQ319938,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Beaumontvirinae; Bixiavirus; unclassified Bixiavirus,RefSeq
Pseudomonas phage 2PS,PQ758386,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage 36-2,OR621019,Pseudomonas aeruginosa,Viruses; Monodnaviria; Loebvirae; Hofneiviricota; Faserviricetes; Tubulavirales; unclassified Tubulavirales,RefSeq
Pseudomonas phage 37F,PQ758387,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage 41C,PV880424,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage 42-1,OR621020,Pseudomonas aeruginosa,Viruses; Monodnaviria; Loebvirae; Hofneiviricota; Faserviricetes; Tubulavirales; unclassified Tubulavirales,RefSeq
Pseudomonas phage 4P,OQ872152,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage 5371,PQ758388,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage 5399,PQ758389,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage 54-4,OR621021,Pseudomonas aeruginosa,Viruses; Monodnaviria; Loebvirae; Hofneiviricota; Faserviricetes; Tubulavirales; unclassified Tubulavirales,RefSeq
Pseudomonas phage 5400,PQ758390,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage 5401,PQ758393,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage 5a-DAzarov,PQ758391,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage 62-2,OR621022,Pseudomonas aeruginosa,Viruses; Monodnaviria; Loebvirae; Hofneiviricota; Faserviricetes; Tubulavirales; unclassified Tubulavirales,RefSeq
Pseudomonas phage 6B,OR608733,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Phikzvirus; Phikzvirus phiKZ,RefSeq
Pseudomonas phage 73,NC_007806,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Jondennisvirinae; Septimatrevirus; Septimatrevirus C1; Septimatrevirus sv73,RefSeq
Pseudomonas phage 9-Ps-8B,OR608734,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Phikzvirus; Phikzvirus phiKZ,RefSeq
Pseudomonas phage 97-1,OR621023,Pseudomonas aeruginosa,Viruses; Monodnaviria; Loebvirae; Hofneiviricota; Faserviricetes; Tubulavirales; unclassified Tubulavirales,RefSeq
Pseudomonas phage 99-2,OR621024,Pseudomonas aeruginosa,Viruses; Monodnaviria; Loebvirae; Hofneiviricota; Faserviricetes; Tubulavirales; unclassified Tubulavirales,RefSeq
Pseudomonas phage 9Ps-7B,OR608735,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Phikzvirus; Phikzvirus phiKZ,RefSeq
Pseudomonas phage AIIMS-Pa-A1,MW117144,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Krylovirinae; Phikmvvirus; Phikmvvirus AIIMSPaA1,RefSeq
Pseudomonas phage AIIMS-Pa-B1,NC_061436,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; Casadabanvirus AIIMSPaB1,RefSeq
Pseudomonas phage Alize,OR683400,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage AN14,KX198613,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Rabinowitzvirinae; Yuavirus; Yuavirus M6; Pseudomonas virus M6,RefSeq
Pseudomonas phage ANB1,OQ992561,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Phikzvirus; unclassified Phikzvirus,RefSeq
Pseudomonas phage APTC-PA18,OP957382,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage Arefeen1,OR472559,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage Atpa001,PV641718,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Hollowayvirus; unclassified Hollowayvirus,RefSeq
Pseudomonas phage AUS034,MW512831,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus; unclassified Bruynoghevirus,RefSeq
Pseudomonas phage AUS260,MW512832,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Jondennisvirinae; Septimatrevirus; unclassified Septimatrevirus,RefSeq
Pseudomonas phage AUS301,MW512833,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage AUS391,MW512834,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage AUS531phi,MN585195,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage BARC01,PQ641084,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Krylovirinae; Phikmvvirus; unclassified Phikmvvirus,RefSeq
Pseudomonas phage Baskent_P1_112,PP766722,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus; unclassified Bruynoghevirus,RefSeq
Pseudomonas phage Baskent_P2_ICU,PP910332,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage Baskent_P3_3B,PP766723,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vandenendeviridae; Skurskavirinae; Pakpunavirus; unclassified Pakpunavirus,RefSeq
Pseudomonas phage Baskent_P4_1,PP992516,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage Baskent_P5,PQ415073,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; unclassified Casadabanvirus,RefSeq
Pseudomonas phage Baskent_P6,PQ415074,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Hollowayvirus; unclassified Hollowayvirus,RefSeq
Pseudomonas phage Bella,PP661417,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage BHU-1,"OK638201, OL343755",Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Samunavirus; unclassified Samunavirus,RefSeq
Pseudomonas phage BHU-15,OK638202,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Samunavirus; unclassified Samunavirus,RefSeq
Pseudomonas phage BHU-17,OK638203,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Samunavirus; unclassified Samunavirus,RefSeq
Pseudomonas phage BIBS67,PQ287640,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage BILI,PP485037,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Rabinowitzvirinae; Yuavirus; unclassified Yuavirus,RefSeq
Pseudomonas phage Bise,OR683401,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage bmx-p1,OQ319934,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus; unclassified Bruynoghevirus,RefSeq
Pseudomonas phage bmx-p2,OQ319932,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage bmx-p3,OQ319933,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vandenendeviridae; Skurskavirinae; Pakpunavirus; unclassified Pakpunavirus,RefSeq
Pseudomonas phage Bobae,PV754031,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage BRkr,LC765218,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage BrSP1,NC_048675,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; Pbunavirus BrSP1,RefSeq
Pseudomonas phage BUCT-PX-5,NC_069750,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Jondennisvirinae; Septimatrevirus; Septimatrevirus PX5,RefSeq
Pseudomonas phage BUCT566,NC_074664,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lishizhenvirus; Lishizhenvirus BUCT566,RefSeq
Pseudomonas phage BWKH3_L8_1,PQ287645,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage BWKH3_R8_1A,PQ276738,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Migulavirinae; Litunavirus; unclassified Litunavirus,RefSeq
Pseudomonas phage C11,NC_028652,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vandenendeviridae; Skurskavirinae; Pakpunavirus; unclassified Pakpunavirus,"NCBI Virus, RefSeq"
Pseudomonas phage Callisto,OR142618,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Arenbergviridae; Wroclawvirus; unclassified Wroclawvirus,RefSeq
Pseudomonas phage Chuck,OQ992557,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Rabinowitzvirinae; Yuavirus; unclassified Yuavirus,RefSeq
Pseudomonas phage Churi,OM718002,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Phikzvirus; unclassified Phikzvirus,RefSeq
Pseudomonas phage Cisa,PV464114,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage Clew-1,PQ790658,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage Clew-10,PQ790661,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage Clew-3,PQ790659,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage Clew-6,PQ790660,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage Clover,OQ992553,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Rabinowitzvirinae; Yuavirus; unclassified Yuavirus,RefSeq
Pseudomonas phage CP-p-PA-21011,PQ859842,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage CP-p-PA-22060,PQ859843,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage CP-p-PA-22062,PQ859844,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage CRPAP1904,PQ741025,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage C_MDJ-2023,OQ925957,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage D3,NC_002484,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Detrevirus; Detrevirus D3,"Literature, RefSeq, UniProt"
Pseudomonas phage D3112,NC_005178,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; Casadabanvirus JBD26; Casadabanvirus D3112,"Literature, RefSeq, UniProt"
Pseudomonas phage Delta,MG432151,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus; unclassified Bruynoghevirus,RefSeq
Pseudomonas phage DMS3,NC_008717,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; Casadabanvirus DMS3,RefSeq
Pseudomonas phage Dobby,NC_048109,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Citexvirus; Citexvirus dobby,RefSeq
Pseudomonas phage DRL-P1,MN564818,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage E2005-24-39,MN508620,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage E2005-C,OQ831729,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage E21,PV596763,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Lavrentievavirus; unclassified Lavrentievavirus,RefSeq
Pseudomonas phage EKU1,PV844354,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage EL,NC_007623,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Elvirus; Elvirus EL,RefSeq
Pseudomonas phage EM,NC_073601,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vandenendeviridae; Skurskavirinae; Baldwinvirus; Baldwinvirus EM,RefSeq
Pseudomonas phage Etesian,OR683402,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; unclassified Casadabanvirus,RefSeq
Pseudomonas phage F10,NC_007805,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"NCBI Virus, RefSeq"
Pseudomonas phage F116,NC_006552,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Hollowayvirus; Hollowayvirus F116,RefSeq
Pseudomonas phage F8,NC_007810,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; Pbunavirus F8,RefSeq
Pseudomonas phage Fc02,NC_074744,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guarnerosvirinae; Torontovirus; Torontovirus Fc02,RefSeq
Pseudomonas phage Fc22,NC_074742,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guarnerosvirinae; Torontovirus; Torontovirus Fc22,RefSeq
Pseudomonas phage FE013,PQ213798,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Jondennisvirinae; Septimatrevirus; unclassified Septimatrevirus,RefSeq
Pseudomonas phage FIM,OQ067609,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage FJK,OQ067610,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus; unclassified Bruynoghevirus,RefSeq
Pseudomonas phage fMGyn-Pae01,OR228460,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Phikzvirus; unclassified Phikzvirus,RefSeq
Pseudomonas phage Gallinipper,KT372690,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; Pbunavirus PB1,RefSeq
Pseudomonas phage GEC_K2,PP836134,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage GEC_MRC,PP836135,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage GEC_PNG14,PP836137,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage GEC_PNG3,PP836136,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage GoodVibes,OQ992552,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage Gregale,OR683403,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; unclassified Casadabanvirus,RefSeq
Pseudomonas phage Guyu,NC_069743,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Jondennisvirinae; Septimatrevirus; Septimatrevirus guyu,"Literature, RefSeq"
Pseudomonas phage H70,NC_027384,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; unclassified Casadabanvirus,"NCBI Virus, RefSeq"
Pseudomonas phage H71,NC_074746,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guarnerosvirinae; Torontovirus; Torontovirus H71,RefSeq
Pseudomonas phage H72,NC_074745,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guarnerosvirinae; Torontovirus; Torontovirus H72,RefSeq
Pseudomonas phage Haboob,OR683404,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage Hadban,OR067381,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage Henu5,NC_073608,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vandenendeviridae; Skurskavirinae; Pakpunavirus; Pakpunavirus Henu5,RefSeq
Pseudomonas phage Henu_18-20N,PV864296,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage HHBS10_2,PQ287653,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS12_2,PQ287652,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS14_1,PQ287643,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS18_1,PQ287651,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS29_1,PQ287650,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS36_1,PQ287642,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS42_2,PQ567101,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,"Literature, RefSeq"
Pseudomonas phage HHBS47_1,PQ287649,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS51_1,PQ287641,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS55_2,PQ287648,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS8_1,PQ287644,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS9_1,PQ287655,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HHBS9_2,PQ287654,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Pseudomonas phage HJ01,NC_073615,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vandenendeviridae; Skurskavirinae; Pakpunavirus; Pakpunavirus HJ01,RefSeq
Pseudomonas phage HPP-Temi,PP968062,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Pawinskivirus; unclassified Pawinskivirus,RefSeq
Pseudomonas phage HX1,MW406976,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Krylovirinae; Phikmvvirus; Phikmvvirus HX1,RefSeq
Pseudomonas phage Iggy,NC_070970,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Queuovirinae; Iggyvirus; Iggyvirus iggy,RefSeq
Pseudomonas phage IME180,MF788075,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Zobellviridae; Paundecimvirus; unclassified Paundecimvirus,RefSeq
Pseudomonas phage IQPL,PP541513,Pseudomonas aeruginosa,Viruses; unclassified bacterial viruses,RefSeq
Pseudomonas phage IR-QUMS-PaBa1-GHS-2021,OP599913,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chimalliviridae; Elvirus; unclassified Elvirus,RefSeq
Pseudomonas phage ISPAA97,PP314035,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lindbergviridae; Pbunavirus; unclassified Pbunavirus,RefSeq
Pseudomonas phage ITTPL,NC_073605,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vandenendeviridae; Skurskavirinae; Pakpunavirus; Pakpunavirus ITTPL,RefSeq
Pseudomonas phage Itty13,NC_070969,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ittyvirus; Ittyvirus itty13,RefSeq
Pseudomonas phage Jack,PP661418,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Pseudomonas phage JBD26,NC_061435,Escherichia coli,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; Casadabanvirus JBD26; Casadabanvirus D3112,Literature
Pseudomonas phage JD024,NC_024330,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; Casadabanvirus JD024,RefSeq
Pseudomonas phage JD05,PQ676539,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus; unclassified Bruynoghevirus,RefSeq
Pseudomonas phage JG004,NC_019450,Pseudomonas aeruginosa,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vandenendeviridae; Skurskavirinae; Pakpunavirus; Pakpunavirus JG004,RefSeq
